symbol,kind,yf_ticker,last_date,rows,action,updated_at
BORORENEW,equity,BORORENEW.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:16.497387
BSE,equity,BSE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:17.746621
CARTRADE,equity,CARTRADE.NS,2026-07-27,1222,+1 rows,2026-07-27 15:15:19.336184
CEINSYS,equity,CEINSYS.NS,2026-07-27,108,+1 rows,2026-07-27 15:15:20.563809
CENTUM,equity,CENTUM.NS,2026-07-27,1237,+1 rows,2026-07-27 15:15:21.838155
CGPOWER,equity,CGPOWER.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:23.163837
COFORGE,equity,COFORGE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:24.544404
DATAPATTNS,equity,DATAPATTNS.NS,2026-07-27,1136,+1 rows,2026-07-27 15:15:25.854579
DIXON,equity,DIXON.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:27.124046
ELECON,equity,ELECON.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:28.475053
EMMVEE,equity,EMMVEE.NS,2026-07-27,173,+1 rows,2026-07-27 15:15:29.712229
ETERNAL,equity,ETERNAL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:30.948187
FRONTSP,equity,FRONTSP.NS,2026-07-27,68,+1 rows,2026-07-27 15:15:32.205887
NYKAA,equity,NYKAA.NS,2026-07-27,1167,+1 rows,2026-07-27 15:15:33.411833
GRSE,equity,GRSE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:34.669413
GVT&D,equity,GVT&D.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:35.954353
HBLENGINE,equity,HBLENGINE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:37.252921
HFCL,equity,HFCL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:38.541672
INDHOTEL,equity,INDHOTEL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:39.864191
IMFA,equity,IMFA.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:41.145649
IKS,equity,IKS.NS,2026-07-27,398,+1 rows,2026-07-27 15:15:42.384933
JSLL,equity,JSLL.NS,2026-07-27,1048,+1 rows,2026-07-27 15:15:43.605955
KALYANKJIL,equity,KALYANKJIL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:44.810818
KAYNES,equity,KAYNES.NS,2026-07-27,911,+1 rows,2026-07-27 15:15:46.034558
KDDL,equity,KDDL.NS,2026-07-27,1237,+1 rows,2026-07-27 15:15:47.294067
KLBRENG-B,equity,KLBRENG-B.NS,2026-07-27,68,+1 rows,2026-07-27 15:15:48.502594
KMEW,equity,KMEW.NS,2026-07-27,408,+1 rows,2026-07-27 15:15:49.717380
KPIGREEN,equity,KPIGREEN.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:51.074049
KRISHNADEF,equity,KRISHNADEF.NS,2026-07-27,1054,+1 rows,2026-07-27 15:15:52.301216
KRN,equity,KRN.NS,2026-07-27,452,+1 rows,2026-07-27 15:15:53.544274
KSHINTL,equity,KSHINTL.NS,2026-07-27,148,+1 rows,2026-07-27 15:15:54.863485
LLOYDSME,equity,LLOYDSME.NS,2026-07-27,750,+1 rows,2026-07-27 15:15:56.089398
LUMAXTECH,equity,LUMAXTECH.NS,2026-07-27,1238,+1 rows,2026-07-27 15:15:57.395950
MANORAMA,equity,MANORAMA.NS,2026-07-27,1007,+1 rows,2026-07-27 15:15:58.620709
MTARTECH,equity,MTARTECH.NS,2026-07-27,1239,+1 rows,2026-07-27 15:15:59.829233
MCX,equity,MCX.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:01.076321
MUTHOOTFIN,equity,MUTHOOTFIN.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:02.327894
NETWEB,equity,NETWEB.NS,2026-07-27,742,+1 rows,2026-07-27 15:16:03.536430
NLCINDIA,equity,NLCINDIA.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:04.847717
NUVAMA,equity,NUVAMA.NS,2026-07-27,701,+1 rows,2026-07-27 15:16:06.050040
OMNI,equity,OMNI.NS,2026-07-27,99,+1 rows,2026-07-27 15:16:07.316222
PARAS,equity,PARAS.NS,2026-07-27,1193,+1 rows,2026-07-27 15:16:08.534964
PERSISTENT,equity,PERSISTENT.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:09.814835
PGEL,equity,PGEL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:11.069383
POLYCAB,equity,POLYCAB.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:12.337800
QPOWER,equity,QPOWER.NS,2026-07-27,352,+1 rows,2026-07-27 15:16:13.575836
RACLGEAR,equity,RACLGEAR.NS,2026-07-27,406,+1 rows,2026-07-27 15:16:14.887936
RATEGAIN,equity,RATEGAIN.NS,2026-07-27,1140,+1 rows,2026-07-27 15:16:16.090230
ROSSTECH,equity,ROSSTECH.NS,2026-07-27,405,+1 rows,2026-07-27 15:16:17.398219
SANSERA,equity,SANSERA.NS,2026-07-27,1198,+1 rows,2026-07-27 15:16:18.622859
SEDEMAC,equity,SEDEMAC.NS,2026-07-27,95,+1 rows,2026-07-27 15:16:19.807082
SGMART,equity,SGMART.NS,2026-07-27,216,+1 rows,2026-07-27 15:16:21.007417
SHILCTECH,equity,SHILCTECH.NS,2026-07-27,169,+1 rows,2026-07-27 15:16:22.213339
SBCL,equity,SBCL.NS,2026-07-27,1238,+1 rows,2026-07-27 15:16:23.463802
SJS,equity,SJS.NS,2026-07-27,1163,+1 rows,2026-07-27 15:16:24.743442
SKIPPER,equity,SKIPPER.NS,2026-07-27,1238,+1 rows,2026-07-27 15:16:25.979756
SKYGOLD,equity,SKYGOLD.NS,2026-07-27,878,+1 rows,2026-07-27 15:16:27.259427
SONACOMS,equity,SONACOMS.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:28.535959
STLTECH,equity,STLTECH.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:29.811349
SYRMA,equity,SYRMA.NS,2026-07-27,969,+1 rows,2026-07-27 15:16:31.097034
TARIL,equity,TARIL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:32.371276
TDPOWERSYS,equity,TDPOWERSYS.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:33.775957
TECHNOE,equity,TECHNOE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:35.119255
THYROCARE,equity,THYROCARE.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:36.417816
TRENT,equity,TRENT.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:37.749376
V2RETAIL,equity,V2RETAIL.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:39.077897
VINCOFE,equity,VINCOFE.NS,2026-07-27,441,+1 rows,2026-07-27 15:16:40.317416
VMM,equity,VMM.NS,2026-07-27,400,+1 rows,2026-07-27 15:16:41.534289
YATHARTH,equity,YATHARTH.NS,2026-07-27,735,+1 rows,2026-07-27 15:16:42.727275
ZAGGLE,equity,ZAGGLE.NS,2026-07-27,703,+1 rows,2026-07-27 15:16:43.952323
ZENTEC,equity,ZENTEC.NS,2026-07-27,1239,+1 rows,2026-07-27 15:16:45.201217
ZOTA,equity,ZOTA.NS,2026-07-27,1238,+1 rows,2026-07-27 15:16:46.515989
SHADOWFAX,equity,SHADOWFAX.NS,2026-07-27,124,+1 rows,2026-07-27 15:16:47.753036
RRKABEL,equity,RRKABEL.NS,2026-07-27,703,+1 rows,2026-07-27 15:16:49.002310
YASHHV,equity,YASHHV.BO,2026-07-27,396,+1 rows,2026-07-27 15:16:50.192343
OBSCP-SM,equity,OBSCP-SM.NS,2026-07-27,2,+1 rows,2026-07-27 15:16:51.438570
AIMTRON,equity,AIMTRON.NS,2026-07-27,531,+1 rows,2026-07-28 14:38:58.064442
TAC,equity,TAC.NS,2026-07-27,571,+1 rows,2026-07-28 14:38:59.526840
VMARCIND,equity,VMARCIND.NS,2026-07-27,1236,+1 rows,2026-07-28 14:39:00.944312
NIFTY50,index,^NSEI,2026-07-29,1237,+2 rows,2026-07-29 14:32:35.089669
NIFTY500,index,^CRSLDX,2026-07-29,1231,+2 rows,2026-07-29 14:32:36.194712
CPPLUS,equity,CPPLUS.NS,2026-07-29,245,+2 rows,2026-07-29 14:32:37.360572
AVL,equity,AVL.NS,2026-07-29,428,+2 rows,2026-07-29 14:32:38.579175
AEROFLEX,equity,AEROFLEX.NS,2026-07-29,720,+2 rows,2026-07-29 14:32:39.836748
AETHER,equity,AETHER.NS,2026-07-29,1029,+2 rows,2026-07-29 14:32:41.044829
AIMTRON,equity,AIMTRON.NS,2026-07-28,532,+1 rows,2026-07-29 14:32:42.258677
APARINDS,equity,APARINDS.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:43.570738
APOLLOHOSP,equity,APOLLOHOSP.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:44.875771
APOLLO,equity,APOLLO.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:46.135443
ASTRAMICRO,equity,ASTRAMICRO.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:47.438425
ATHERENERG,equity,ATHERENERG.NS,2026-07-29,310,+2 rows,2026-07-29 14:32:48.638219
ATLANTAELE,equity,ATLANTAELE.NS,2026-07-29,207,+2 rows,2026-07-29 14:32:49.941359
